epoch,loss,accuracy,val_loss,val_accuracy,epsilon,delta,best
0,1.8827,0.3258,1.7265,0.3775,0.0302,0.0,0
1,1.8068,0.3368,1.6689,0.3941,13.0314,0.0,0
2,1.7731,0.3541,1.6188,0.4187,13.7069,0.0,0
3,1.7291,0.3775,1.5171,0.4491,14.3824,0.0,0
4,1.6546,0.4239,1.3319,0.5536,15.0579,0.0,0
5,1.5298,0.491,1.1838,0.5843,15.7334,0.0,0
6,1.4532,0.5206,1.155,0.5962,16.4088,0.0,0
7,1.4198,0.5315,1.1146,0.6263,16.9141,0.0,0
8,1.3961,0.5395,1.0748,0.6561,17.1239,0.0,0
9,1.3919,0.542,1.0346,0.6654,17.3338,0.0,0
10,1.3962,0.5426,1.059,0.6458,17.5437,0.0,0
11,1.3892,0.5464,1.0282,0.6616,17.7536,0.0,0
12,1.3859,0.5467,0.9923,0.6764,17.9634,0.0,0
13,1.3868,0.547,0.9727,0.6803,18.1733,0.0,0
14,1.391,0.5446,0.9952,0.6865,18.3832,0.0,0
15,1.4009,0.545,1.0043,0.6735,18.5931,0.0,0
16,1.4074,0.5441,0.9881,0.6743,18.803,0.0,0
17,1.4032,0.5451,1.007,0.6601,19.0128,0.0,0
18,1.405,0.5454,0.9796,0.6833,19.2227,0.0,1
