epoch,loss,accuracy,val_loss,val_accuracy,epsilon,delta,best
0,1.9397,0.3122,1.7797,0.354,0.0304,0.0,0
1,1.8457,0.333,1.679,0.3854,67.2817,0.0,0
2,1.7696,0.3764,1.5034,0.5273,72.3468,0.0,0
3,1.6085,0.4612,1.2958,0.5861,77.4118,0.0,0
4,1.4935,0.5049,1.2266,0.6096,82.4768,0.0,0
5,1.4471,0.5198,1.1804,0.6286,87.5419,0.0,0
6,1.426,0.5278,1.1528,0.6207,92.6069,0.0,0
7,1.409,0.5348,1.1335,0.6278,97.6719,0.0,0
8,1.414,0.533,1.117,0.6283,102.7369,0.0,0
9,1.4091,0.533,1.0947,0.635,107.802,0.0,0
10,1.4126,0.5323,1.0748,0.6322,112.867,0.0,0
11,1.4116,0.5326,1.0852,0.6311,117.932,0.0,0
12,1.4129,0.5331,1.0833,0.6252,122.9971,0.0,0
13,1.4174,0.5322,1.0861,0.613,128.0621,0.0,0
14,1.427,0.5292,1.0731,0.6324,133.1271,0.0,0
15,1.4281,0.5273,1.107,0.6181,138.1922,0.0,0
16,1.4329,0.526,1.0938,0.6262,143.2572,0.0,0
17,1.4374,0.5244,1.0792,0.614,148.3222,0.0,0
18,1.4446,0.5229,1.0887,0.6175,153.3873,0.0,0
19,1.4444,0.523,1.095,0.6085,158.4523,0.0,1
