epoch,loss,accuracy,val_loss,val_accuracy,epsilon,delta,best
0,2.4636,0.1584,2.4278,0.1665,0.0287,0.0,0
1,2.3902,0.1901,2.2648,0.228,13.4923,0.0,0
2,2.3244,0.2154,2.1895,0.2572,15.2527,0.0,0
3,2.306,0.2241,2.1489,0.2817,16.0385,0.0,0
4,2.2903,0.2341,2.107,0.291,16.4964,0.0,0
5,2.2772,0.2399,2.0814,0.3194,16.9543,0.0,0
6,2.2593,0.2471,2.0514,0.3149,17.4122,0.0,0
7,2.2523,0.2531,2.0173,0.3441,17.87,0.0,0
8,2.2437,0.2572,1.9989,0.348,18.3279,0.0,0
9,2.2355,0.2637,1.9906,0.3628,18.7858,0.0,0
10,2.2216,0.273,1.9457,0.3765,19.2437,0.0,0
11,2.2117,0.2779,1.9105,0.3732,19.7016,0.0,0
12,2.2021,0.2846,1.8848,0.3959,20.1595,0.0,0
13,2.193,0.2898,1.8544,0.4078,20.6174,0.0,0
14,2.1851,0.2953,1.8261,0.4317,21.0753,0.0,0
15,2.1741,0.3019,1.7936,0.4379,21.5332,0.0,0
16,2.1626,0.3064,1.7492,0.4527,21.9911,0.0,0
17,2.1488,0.3114,1.7363,0.4433,22.449,0.0,0
18,2.1437,0.3151,1.7233,0.4612,22.9069,0.0,0
19,2.1462,0.3167,1.7041,0.4617,23.272,0.0,0
20,2.138,0.3213,1.6665,0.4745,23.4677,0.0,0
21,2.1237,0.326,1.6404,0.4698,23.6635,0.0,0
22,2.1072,0.3327,1.6202,0.4801,23.8592,0.0,0
23,2.0984,0.3369,1.5952,0.4838,24.0549,0.0,0
24,2.0846,0.3411,1.5699,0.4888,24.2507,0.0,0
25,2.0795,0.3427,1.5862,0.4878,24.4464,0.0,0
26,2.0798,0.3451,1.5924,0.487,24.6421,0.0,0
27,2.0795,0.3439,1.5664,0.4967,24.8379,0.0,0
28,2.0695,0.3453,1.5488,0.4932,25.0336,0.0,0
29,2.0735,0.3463,1.5477,0.4999,25.2293,0.0,0
30,2.0694,0.3463,1.5357,0.4989,25.425,0.0,0
31,2.0593,0.3523,1.5448,0.4977,25.6208,0.0,0
32,2.0491,0.3555,1.5235,0.4983,25.8165,0.0,0
33,2.0441,0.3575,1.5073,0.4979,26.0122,0.0,0
34,2.0435,0.3563,1.5053,0.5042,26.208,0.0,0
35,2.046,0.3564,1.4882,0.501,26.4037,0.0,0
36,2.043,0.3553,1.4675,0.5007,26.5994,0.0,0
37,2.045,0.3558,1.489,0.4993,26.7952,0.0,0
38,2.0435,0.356,1.4787,0.5003,26.9909,0.0,0
39,2.0303,0.3585,1.4937,0.4981,27.1866,0.0,0
40,2.0323,0.3574,1.469,0.5005,27.3824,0.0,0
41,2.0321,0.3601,1.4568,0.4976,27.5781,0.0,0
42,2.0342,0.3608,1.4612,0.4971,27.7738,0.0,0
43,2.0269,0.3611,1.4586,0.4972,27.9696,0.0,0
44,2.021,0.3609,1.4485,0.5019,28.1653,0.0,0
45,2.0103,0.3654,1.4489,0.4949,28.361,0.0,0
46,2.0055,0.3651,1.4536,0.5001,28.5568,0.0,0
47,2.0023,0.3667,1.4464,0.5055,28.7525,0.0,0
48,2.0061,0.3655,1.4379,0.5063,28.9482,0.0,0
49,2.0035,0.3653,1.4458,0.5103,29.144,0.0,0
50,2.0097,0.3642,1.438,0.507,29.3397,0.0,0
51,2.0035,0.3644,1.4412,0.5103,29.5354,0.0,0
52,2.0039,0.3641,1.4432,0.5095,29.7312,0.0,0
53,2.0085,0.3639,1.4602,0.4972,29.9269,0.0,1
