epoch,loss,accuracy,val_loss,val_accuracy,epsilon,delta,best
0,2.4508,0.1602,2.3879,0.1698,0.0287,0.0,0
1,2.316,0.2118,2.2018,0.2507,65.4878,0.0,0
2,2.2661,0.2336,2.1209,0.2833,72.3163,0.0,0
3,2.2378,0.2491,2.0794,0.2956,79.1449,0.0,0
4,2.2203,0.2586,2.0383,0.3062,85.9735,0.0,0
5,2.2019,0.2681,1.9994,0.3408,92.802,0.0,0
6,2.1824,0.2741,1.9747,0.3457,99.6306,0.0,0
7,2.1587,0.2855,1.9171,0.3698,106.4591,0.0,0
8,2.1337,0.2979,1.8852,0.3832,113.2877,0.0,0
9,2.1154,0.3074,1.8411,0.4121,120.1163,0.0,0
10,2.084,0.322,1.7802,0.4334,126.9448,0.0,0
11,2.0627,0.332,1.7356,0.4539,133.7734,0.0,0
12,2.0394,0.3423,1.7017,0.469,140.6019,0.0,0
13,2.0197,0.3524,1.6434,0.4795,147.4305,0.0,0
14,1.9931,0.363,1.605,0.4824,154.2591,0.0,0
15,1.9594,0.3747,1.569,0.4834,161.0876,0.0,0
16,1.9382,0.3819,1.523,0.4942,167.9161,0.0,0
17,1.9164,0.3895,1.5115,0.4947,174.7447,0.0,0
18,1.9009,0.3954,1.4837,0.5097,181.5733,0.0,0
19,1.8813,0.4023,1.4772,0.5084,188.4018,0.0,0
20,1.8669,0.4073,1.4459,0.5134,195.2304,0.0,0
21,1.8532,0.41,1.4392,0.5213,202.0589,0.0,0
22,1.8392,0.4152,1.4298,0.5261,208.8875,0.0,0
23,1.8352,0.4158,1.4273,0.5207,215.7161,0.0,0
24,1.823,0.4176,1.4106,0.5245,222.5446,0.0,0
25,1.8146,0.4199,1.4002,0.5269,229.3732,0.0,0
26,1.8051,0.423,1.3935,0.527,236.2017,0.0,0
27,1.7953,0.4276,1.3799,0.5307,243.0303,0.0,0
28,1.7869,0.4298,1.364,0.534,249.8588,0.0,0
29,1.7805,0.4308,1.3652,0.5331,256.6874,0.0,0
30,1.7766,0.4321,1.3578,0.536,263.516,0.0,0
31,1.7799,0.431,1.3679,0.5346,270.3445,0.0,0
32,1.781,0.4311,1.3505,0.5329,277.173,0.0,0
33,1.7729,0.4314,1.337,0.5382,284.0016,0.0,0
34,1.7686,0.4332,1.3447,0.529,290.8302,0.0,0
35,1.7647,0.4335,1.3422,0.536,297.6587,0.0,0
36,1.758,0.4361,1.3298,0.5409,304.4873,0.0,0
37,1.7567,0.4365,1.3361,0.5392,311.3158,0.0,0
38,1.7534,0.4373,1.335,0.5384,318.1444,0.0,0
39,1.7528,0.437,1.3418,0.5398,324.973,0.0,0
40,1.7508,0.4383,1.3454,0.5406,331.8015,0.0,0
41,1.7534,0.4377,1.3493,0.5385,338.6301,0.0,1
